"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1926831119770464749","Mon May 26 02:41:52 +0000 2025","2","Ringroad yang paling aku hapal mergo cerak bgt mbe omah wkwk area rawan begal ","1926831119770464749","","","in","","0","1","0","https://x.com/undefined/status/1926831119770464749","1864978013710094337",
"1926297672249454642","Sun May 25 15:19:53 +0000 2025","0","@ekaaasthetic @jogja_base Waduh ada klitih ada begal harus dihadapi","1926659495297528230","","ekaaasthetic","in","","0","0","0","https://x.com/undefined/status/1926659495297528230","1596996503947472897",
"1926297672249454642","Sun May 25 15:09:55 +0000 2025","0","@ekaaasthetic @jogja_base Luwih ke begal ya mbak? Wkwk","1926656985522413955","","ekaaasthetic","in","","0","1","0","https://x.com/undefined/status/1926656985522413955","1596996503947472897",
"1926297672249454642","Sun May 25 14:38:46 +0000 2025","0","@Ariawan87degree @jogja_base Wkwkw daerah tempat tinggalku terkenal sama begal mas","1926649144908599786","","Ariawan87degree","in","","0","1","0","https://x.com/undefined/status/1926649144908599786","1864978013710094337",
"1926552993190592842","Sun May 25 08:16:41 +0000 2025","0","● LAKA di Bok Begal Korban 3 orang 2 dirujuk ke RSU Rizki Amalia Medika Lendah 1 dirujuk ke RSUD Wates. ● Foto dikirim oleh : @ikhsannug012 ● Lokasi : RSUD Wates Kapanewon Wates Kulon Progo Yogyakarta. #panoramakulonprogo #kulonprogo #jogja https://t.co/i9GXM9GRdt","1926552993190592842","https://pbs.twimg.com/media/Grx9swxWIAA4nhA.jpg","","in","","0","0","0","https://x.com/undefined/status/1926552993190592842","81806050",
"1926540761979380181","Sun May 25 07:28:05 +0000 2025","0","● LAKA di Jalan Nagung - Brosot tepatnya di Bok Begal Truk dengan Mobil. Monggo untuk selalu berhati-hati nggih lurr. ● Video : @pm_skkpinfo ● Lokasi : Jalan Nagung - Brosot (Bok Begal) Kapanewon Panjatan Kulon Progo Yogyakarta. #panoramakulonprogo #kulonprogo #jogja https://t.co/KoZemYmjhp","1926540761979380181","https://pbs.twimg.com/amplify_video_thumb/1926540670111498240/img/FvZ7SgQFZ6tq2i0A.jpg","","in","","1","0","0","https://x.com/undefined/status/1926540761979380181","81806050",
"1926407978145460701","Sat May 24 22:40:27 +0000 2025","0","jalan palagan jogja tu kalo malem emang ngeri banget. bawah dikit rawan orang mabok atas dikit rawan begal. yaAllah semoga mas nya mendapat keadilan deh yujiem please jgn tone deaf sama masalah ini ya. apalagi yang meninggal anak fh. please kawal teruuuus!!!","1926407978145460701","","","in","","0","0","0","https://x.com/undefined/status/1926407978145460701","1899830234234667008",
"1925041357183451583","Wed May 21 04:09:59 +0000 2025","0","Kronologi Begal di Prambanan: Tega Curi Emas Ibu Pencari Rumput Pelaku Masih Buron https://t.co/7T1DBt8VqG","1925041357183451583","","","in","","0","0","0","https://x.com/undefined/status/1925041357183451583","541613750",
"1924690385139626177","Tue May 20 23:36:44 +0000 2025","5","@prophetofzorck Klaten salah satu basis terbesar agomooo tapi masih ada kasus klitih dan begal mungkin karena pengaruh deket jogja","1924972588704706680","","prophetofzorck","in","","0","1","0","https://x.com/undefined/status/1924972588704706680","1368614298",
"1924428642903613449","Mon May 19 12:13:59 +0000 2025","1","@moonlightyeoh BARU TAU ADA TRANS JOGJA","1924438383025332549","","moonlightyeoh","in","","1","1","0","https://x.com/undefined/status/1924438383025332549","1644556627163627524",
