"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1927134707461881918","Mon May 26 22:48:13 +0000 2025","1","iki po yo mobil sing ugal2an neng jakal mbiyen elingku knalpot e yo 4 sih. brp org di jogja punya f30 320i yg knalpotnya 4","1927134707461881918","","","in","","0","1","0","https://x.com/undefined/status/1927134707461881918","1076443154830651392",
"1924805858476884350","Tue May 20 12:34:12 +0000 2025","0","Lega banget nyium bau knalpot Jogja campur kopi klotok dan klakson klakson","1924805858476884350","","","in","","0","0","0","https://x.com/undefined/status/1924805858476884350","1726168333358358528",
"1924033942799462838","Sun May 18 09:26:53 +0000 2025","3","ya Allah rasulullah masuk jogja adem ayem masuk magelang mumet knalpot brong semua isinya anjg najis knp ada org msh alay begitu in 2025","1924033942799462838","","","in","","0","0","0","https://x.com/undefined/status/1924033942799462838","1786431666116018176",
"1924016593052319879","Sun May 18 08:17:56 +0000 2025","0","Knalpot Motor Anda Bau Menyengat? Berikut Trik dan Tips Mengatasinya https://t.co/a93fg282OO https://t.co/nl2h6GCHKn","1924016593052319879","https://pbs.twimg.com/media/GrN65QiXQAASGvo.jpg","","in","","0","0","0","https://x.com/undefined/status/1924016593052319879","118371948",
"1921698491253883033","Sun May 11 22:46:38 +0000 2025","0","tp kenapa supporter bola kek gtu sih? di Jogja (gatau ditempat lain) kalo clubnya menang terus convoi nutupin jalan pake knalpot brong brisiknya minta ampun","1921698491253883033","","","in","","0","0","0","https://x.com/undefined/status/1921698491253883033","313083173",
"1921559139001434155","Sun May 11 13:32:54 +0000 2025","0","Baru sampe rumah yaelah long weekend ke kampus salah bgt. Jogja macet poll mana banyak knalpot brisik","1921559139001434155","","","in","","0","0","0","https://x.com/undefined/status/1921559139001434155","1165480183823863810",
"1921535087939571998","Sun May 11 11:57:20 +0000 2025","1","jogja macet banget gara event cb cb itu emosi di jalan anjir. knalpotnya berisik bangett bayangin macet gabisa gerak smsek tapi kudu dengerin knalpot mereka","1921535087939571998","","","in","","0","3","0","https://x.com/undefined/status/1921535087939571998","1243382615547109376",
"1921276312410357916","Sun May 11 07:45:42 +0000 2025","0","@kingofkroco @merapi_uncover @titiknol_jogja @Jogja24Jam Jogja estetik tanpa klakson mung bleyer2 knalpot kok @PoldaJogja @humas_jogja","1921471764195922217","","kingofkroco","in","","0","0","0","https://x.com/undefined/status/1921471764195922217","55616450",
"1917120784935620733","Tue Apr 29 09:11:50 +0000 2025","0","@notyourfatboy__ Anjir knalpot cok kuwi wkwk","1917144788002107719","","notyourfatboy__","in","","0","0","0","https://x.com/undefined/status/1917144788002107719","755081518247215104",
"1734510358235410850","Sun Apr 27 05:43:53 +0000 2025","0","Selasa 22 april pertama kali landing di kidul padahal asline rung rampung. lha ngopo rung rampung wis di gowo? hao pie meneh rande motor bos. magelang - jogja setelah dongkrong ket desember dan embuh kapan terakhir ganti oli knalpot ra nganggo braket ra nggo rem ngarep barang https://t.co/GcOszkZ8rv","1916367676127281628","https://pbs.twimg.com/ext_tw_video_thumb/1916367623853686784/pu/img/OXqBI-MCB_tpzFas.jpg","sumdummonkey","in","","0","0","0","https://x.com/undefined/status/1916367676127281628","1425840017386082314",
